pointX,pointY,lineStartX,lineStartY,lineEndX,lineEndY,splitDim
-2.159369,1.635439,-2.746902,1.635439,-1.569422,1.635439,1.000000
-0.909649,1.225997,-0.993816,1.225997,-0.706948,1.225997,1.000000
-0.789951,1.121611,-0.789951,0.749865,-0.789951,1.225997,0.000000
-0.988257,1.066813,-0.993816,1.066813,-0.789951,1.066813,1.000000
-0.722655,1.330724,-0.722655,1.225997,-0.722655,2.717116,0.000000
-0.947092,1.420913,-0.993816,1.420913,-0.722655,1.420913,1.000000
-0.400606,0.930335,-0.706948,0.930335,0.038017,0.930335,1.000000
-0.529787,0.449493,-0.529787,0.023677,-0.529787,0.930335,0.000000
-0.596955,0.548261,-0.706948,0.548261,-0.529787,0.548261,1.000000
-0.658665,0.230006,-0.658665,0.023677,-0.658665,0.548261,0.000000
-0.680634,0.406222,-0.706948,0.406222,-0.658665,0.406222,1.000000
-0.533887,0.288532,-0.658665,0.288532,-0.529787,0.288532,1.000000
-0.545598,0.875697,-0.545598,0.548261,-0.545598,0.930335,0.000000
-0.651771,0.837256,-0.706948,0.837256,-0.545598,0.837256,1.000000
-0.495331,0.637971,-0.529787,0.637971,0.038017,0.637971,1.000000
-0.100875,0.346454,-0.100875,0.023677,-0.100875,0.637971,0.000000
-0.220173,0.327483,-0.529787,0.327483,-0.100875,0.327483,1.000000
-0.308734,0.786597,-0.308734,0.637971,-0.308734,0.930335,0.000000
-0.353947,0.700066,-0.529787,0.700066,-0.308734,0.700066,1.000000
-0.268528,1.415732,-0.268528,0.930335,-0.268528,2.717116,0.000000
-0.460015,1.824071,-0.706948,1.824071,-0.268528,1.824071,1.000000
-0.273507,1.142267,-0.273507,0.930335,-0.273507,1.824071,0.000000
-0.467551,1.711499,-0.706948,1.711499,-0.273507,1.711499,1.000000
-0.291901,1.977889,-0.291901,1.824071,-0.291901,2.717116,0.000000
-0.306640,2.448125,-0.706948,2.448125,-0.291901,2.448125,1.000000
-0.008090,1.425412,-0.268528,1.425412,0.038017,1.425412,1.000000
-0.012705,1.240797,-0.012705,0.930335,-0.012705,1.425412,0.000000
-0.238541,1.012971,-0.268528,1.012971,-0.012705,1.012971,1.000000
0.035637,2.717116,0.035637,1.425412,0.035637,2.717116,0.000000
-0.090829,2.312922,-0.268528,2.312922,0.035637,2.312922,1.000000
0.549134,-0.023322,0.038017,-0.023322,3.280745,-0.023322,1.000000
0.663473,-0.028391,0.663473,-2.468799,0.663473,-0.023322,0.000000
0.586005,-0.926794,0.038017,-0.926794,0.663473,-0.926794,1.000000
0.614047,-1.705789,0.614047,-2.468799,0.614047,-0.926794,0.000000
0.130835,-1.407268,0.038017,-1.407268,0.614047,-1.407268,1.000000
0.345760,-1.617619,0.345760,-2.468799,0.345760,-1.407268,0.000000
0.125436,-1.472473,0.038017,-1.472473,0.345760,-1.472473,1.000000
0.449759,-1.601569,0.345760,-1.601569,0.614047,-1.601569,1.000000
0.566481,-1.212348,0.566481,-1.407268,0.566481,-0.926794,0.000000
0.520609,-0.931953,0.038017,-0.931953,0.566481,-0.931953,1.000000
0.644626,-1.181908,0.614047,-1.181908,0.663473,-1.181908,1.000000
0.662780,-1.203795,0.662780,-2.468799,0.662780,-1.181908,0.000000
0.624184,-1.187129,0.614047,-1.187129,0.662780,-1.187129,1.000000
0.656529,-0.994060,0.656529,-1.181908,0.656529,-0.926794,0.000000
0.647010,-1.054819,0.614047,-1.054819,0.656529,-1.054819,1.000000
0.256802,-0.657952,0.256802,-0.926794,0.256802,-0.023322,0.000000
0.076213,-0.323799,0.038017,-0.323799,0.256802,-0.323799,1.000000
0.196288,-0.456036,0.196288,-0.926794,0.196288,-0.323799,0.000000
0.117230,-0.610610,0.038017,-0.610610,0.196288,-0.610610,1.000000
0.142672,-0.241670,0.142672,-0.323799,0.142672,-0.023322,0.000000
0.058112,-0.175197,0.038017,-0.175197,0.142672,-0.175197,1.000000
0.489935,-0.461244,0.256802,-0.461244,0.663473,-0.461244,1.000000
0.550220,-0.921652,0.550220,-0.926794,0.550220,-0.461244,0.000000
0.322221,-0.712350,0.256802,-0.712350,0.550220,-0.712350,1.000000
0.537256,-0.328378,0.537256,-0.461244,0.537256,-0.023322,0.000000
0.341867,-0.064049,0.256802,-0.064049,0.537256,-0.064049,1.000000
1.290021,-0.605535,0.663473,-0.605535,3.280745,-0.605535,1.000000
1.165910,-0.874298,1.165910,-2.468799,1.165910,-0.605535,0.000000
1.072298,-0.985822,0.663473,-0.985822,1.165910,-0.985822,1.000000
0.902240,-1.167309,0.902240,-2.468799,0.902240,-0.985822,0.000000
0.837073,-1.059845,0.663473,-1.059845,0.902240,-1.059845,1.000000
0.968538,-1.000930,0.902240,-1.000930,1.165910,-1.000930,1.000000
0.981903,-0.701399,0.981903,-0.985822,0.981903,-0.605535,0.000000
0.703290,-0.656795,0.663473,-0.656795,0.981903,-0.656795,1.000000
1.487120,-1.281638,1.165910,-1.281638,3.280745,-1.281638,1.000000
3.280745,-1.359323,3.280745,-2.468799,3.280745,-1.281638,0.000000
1.168561,-1.562655,1.165910,-1.562655,3.280745,-1.562655,1.000000
2.182111,-0.726806,2.182111,-1.281638,2.182111,-0.605535,0.000000
1.811930,-0.846947,1.165910,-0.846947,2.182111,-0.846947,1.000000
1.232828,-0.180102,1.232828,-0.605535,1.232828,-0.023322,0.000000
0.786755,-0.441197,0.663473,-0.441197,1.232828,-0.441197,1.000000
0.987525,-0.500037,0.987525,-0.605535,0.987525,-0.441197,0.000000
0.856878,-0.516437,0.663473,-0.516437,0.987525,-0.516437,1.000000
1.105387,-0.283996,1.105387,-0.441197,1.105387,-0.023322,0.000000
0.675005,-0.127937,0.663473,-0.127937,1.105387,-0.127937,1.000000
1.358478,-0.443033,1.232828,-0.443033,3.280745,-0.443033,1.000000
2.311801,-0.585147,2.311801,-0.605535,2.311801,-0.443033,0.000000
1.710715,-0.449604,1.232828,-0.449604,2.311801,-0.449604,1.000000
1.421234,-0.238282,1.421234,-0.443033,1.421234,-0.023322,0.000000
1.369947,-0.222845,1.232828,-0.222845,1.421234,-0.222845,1.000000
0.603036,0.113815,0.603036,-0.023322,0.603036,2.717116,0.000000
0.066659,0.673600,0.038017,0.673600,0.603036,0.673600,1.000000
0.244052,0.074686,0.244052,-0.023322,0.244052,0.673600,0.000000
0.094789,0.413766,0.038017,0.413766,0.244052,0.413766,1.000000
0.199454,0.362996,0.199454,-0.023322,0.199454,0.413766,0.000000
0.191276,0.145132,0.038017,0.145132,0.199454,0.145132,1.000000
0.199602,0.332088,0.199454,0.332088,0.244052,0.332088,1.000000
0.103721,0.596294,0.103721,0.413766,0.103721,0.673600,0.000000
0.083980,0.608964,0.038017,0.608964,0.103721,0.608964,1.000000
0.513889,0.398475,0.244052,0.398475,0.603036,0.398475,1.000000
0.506807,0.202031,0.506807,-0.023322,0.506807,0.398475,0.000000
0.459398,0.019682,0.244052,0.019682,0.506807,0.019682,1.000000
0.582143,0.445006,0.582143,0.398475,0.582143,0.673600,0.000000
0.532747,0.646527,0.244052,0.646527,0.582143,0.646527,1.000000
0.206140,1.259334,0.206140,0.673600,0.206140,2.717116,0.000000
0.149799,1.212515,0.038017,1.212515,0.206140,1.212515,1.000000
0.137276,1.004181,0.137276,0.673600,0.137276,1.212515,0.000000
0.119434,0.851356,0.038017,0.851356,0.137276,0.851356,1.000000
0.178011,1.565437,0.178011,1.212515,0.178011,2.717116,0.000000
0.055496,1.524838,0.038017,1.524838,0.178011,1.524838,1.000000
0.266738,0.928477,0.206140,0.928477,0.603036,0.928477,1.000000
0.476602,0.921475,0.476602,0.673600,0.476602,0.928477,0.000000
0.438892,0.776788,0.206140,0.776788,0.476602,0.776788,1.000000
0.547211,1.412092,0.547211,0.928477,0.547211,2.717116,0.000000
0.518010,1.171287,0.206140,1.171287,0.547211,1.171287,1.000000
1.461504,0.667450,0.603036,0.667450,3.280745,0.667450,1.000000
1.269016,0.035008,1.269016,-0.023322,1.269016,0.667450,0.000000
0.867106,0.414634,0.603036,0.414634,1.269016,0.414634,1.000000
0.725766,0.001320,0.725766,-0.023322,0.725766,0.414634,0.000000
0.611840,0.368420,0.603036,0.368420,0.725766,0.368420,1.000000
0.774947,0.373167,0.725766,0.373167,1.269016,0.373167,1.000000
1.123553,0.439411,1.123553,0.414634,1.123553,0.667450,0.000000
0.833464,0.443855,0.603036,0.443855,1.123553,0.443855,1.000000
1.554195,0.168516,1.269016,0.168516,3.280745,0.168516,1.000000
1.599265,0.068531,1.599265,-0.023322,1.599265,0.168516,0.000000
1.545577,0.158438,1.269016,0.158438,1.599265,0.158438,1.000000
1.861376,0.323175,1.861376,0.168516,1.861376,0.667450,0.000000
1.800282,0.298738,1.269016,0.298738,1.861376,0.298738,1.000000
1.438962,1.068009,1.438962,0.667450,1.438962,2.717116,0.000000
1.414150,0.865225,0.603036,0.865225,1.438962,0.865225,1.000000
0.765138,0.720249,0.765138,0.667450,0.765138,0.865225,0.000000
0.637708,0.693570,0.603036,0.693570,0.765138,0.693570,1.000000
1.024606,1.942542,1.024606,0.865225,1.024606,2.717116,0.000000
0.853454,0.977169,0.603036,0.977169,1.024606,0.977169,1.000000
2.065340,1.123967,1.438962,1.123967,3.280745,1.123967,1.000000
1.814577,0.957061,1.814577,0.667450,1.814577,1.123967,0.000000
1.744103,1.107398,1.438962,1.107398,1.814577,1.107398,1.000000
1.930833,1.266603,1.930833,1.123967,1.930833,2.717116,0.000000
1.462298,1.164848,1.438962,1.164848,1.930833,1.164848,1.000000
